,name,state,location_type,cocoa,area_harvested_cocoa,area_planted_cocoa,coffee,area_planted_coffee,area_harvested_coffee,area_planted_corn,area_harvested_corn,corn,rice,area_planted_rice,area_harvested_rice,area_planted_soy,soy,area_harvested_soy,area_harvested_sugarcane,area_planted_sugarcane,sugarcane
3263,Maranguape,Ceara,city,0,0,0,0,0,0,603,603,483,9,9,9,0,0,0,50,50,1983
3264,Maranhao,Maranhao,state,0,0,0,0,0,0,514675,514675,2278917,181197,99887,99868,1099871,3537377,1099871,47953,47953,2827703
3265,Maranhaozinho,Maranhao,city,0,0,0,0,0,0,105,105,73,135,140,140,0,0,0,0,0,0
3266,Marapanim,Para,city,0,0,0,0,0,0,40,40,44,15,20,20,0,0,0,0,0,0
3267,Marapoama,Sao Paulo,city,0,0,0,0,0,0,100,100,700,0,0,0,100,400,100,6196,6196,557640
3268,Marataizes,Espirito Santo,city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1667,1667,50010
3269,Marata,Rio Grande do Sul,city,0,0,0,0,0,0,50,50,277,0,0,0,0,0,0,20,20,649
3270,Marau,Rio Grande do Sul,city,0,0,0,0,0,0,2500,2500,6600,0,0,0,39500,71100,39500,10,10,400
3271,Maravilha,Alagoas,city,0,0,0,0,0,0,450,24,20,0,0,0,0,0,0,0,0,0
3272,Maravilha,Santa Catarina,city,0,0,0,0,0,0,1300,1300,4680,0,0,0,4100,4920,4100,0,0,0
3273,Maravilhas,Minas Gerais,city,0,0,0,0,0,0,120,120,540,0,0,0,0,0,0,20,20,1000
3274,Maraa,Amazonas,city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3275,Marau,Bahia,city,2219,9950,9950,235,115,115,0,0,0,0,0,0,0,0,0,7,7,132
3276,Marcacao,Paraiba,city,0,0,0,0,0,0,8,8,10,0,0,0,0,0,0,3250,3250,178750
3277,Marcelino Ramos,Rio Grande do Sul,city,0,0,0,0,0,0,1888,1888,8666,0,0,0,3800,6080,3800,137,137,6850
3278,Marcelino Vieira,Rio Grande do Norte,city,0,0,0,0,0,0,600,420,53,0,0,0,0,0,0,6,6,300
3279,Marcelandia,Mato Grosso,city,0,0,0,13,21,21,48000,48000,277920,10966,3500,3500,93000,334800,93000,0,0,0
3280,Marcionilio Souza,Bahia,city,0,0,0,0,0,0,20,20,11,0,0,0,0,0,0,0,0,0
